#time	sec	step	log_time	priority	tag	pid	log
31176	1	23	2022-01-13 12:23:23.076000	I	auditd	12398	type=1400 audit(0.0:3495): avc: denied { getattr } for comm="df" path="/vendor/protect_f" dev="mmcblk0p9" ino=2 scontext=u:r:shell:s0 tcontext=u:object_r:protect_f_data_file:s0 tclass=dir permissive=0
31176	2	23	2022-01-13 12:23:23.076000	I	auditd	12398	type=1400 audit(0.0:3496): avc: denied { getattr } for comm="df" path="/vendor/protect_s" dev="mmcblk0p10" ino=2 scontext=u:r:shell:s0 tcontext=u:object_r:protect_s_data_file:s0 tclass=dir permissive=0
31176	3	23	2022-01-13 12:23:23.076000	I	auditd	12398	type=1400 audit(0.0:3497): avc: denied { getattr } for comm="df" path="/vendor/nvdata" dev="mmcblk0p7" ino=2 scontext=u:r:shell:s0 tcontext=u:object_r:nvdata_file:s0 tclass=dir permissive=0
31180	4	23	2022-01-13 12:23:23.080000	I	auditd	12398	type=1400 audit(0.0:3499): avc: denied { getattr } for comm="df" path="/mnt/media_rw" dev="tmpfs" ino=1151 scontext=u:r:shell:s0 tcontext=u:object_r:mnt_media_rw_file:s0 tclass=dir permissive=0
31873	1	24	2022-01-13 12:23:23.773000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
31876	2	24	2022-01-13 12:23:23.776000	I	auditd	12432	type=1400 audit(0.0:3501): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
32833	1	25	2022-01-13 12:23:24.733000	I	sqlite_mem_released	17583	20480
32834	2	25	2022-01-13 12:23:24.734000	I	force_gc	17583	mem
32877	1	25	2022-01-13 12:23:24.777000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
32988	1	25	2022-01-13 12:23:24.888000	I	auditd	12518	type=1400 audit(0.0:3503): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
32998	2	25	2022-01-13 12:23:24.898000	I	am_pss	977	[10114,10251,com.zhiliaoapp.musically,156512256,112570368,136192]
33039	1	25	2022-01-13 12:23:24.939000	I	am_pss	977	[9596,10010,com.google.process.gservices,6904832,4157440,157696]
