#time	step	pss	shared_dirty	private_dirty	heap_size	heap_alloc	heap_free	native_pss	native_shared_dirty	native_private_dirty	native_heap_size	native_heap_alloc	native_heap_free	dalvik_pss	dalvik_shared_dirty	dalvik_private_dirty	dalvik_heap_size	dalvik_heap_alloc	dalvik_heap_free
226227	164	74768		51259	21034	14521	6512	9587		9552	16384	12196	4187	4164		3932	4650	2325	2325
227233	165	74700		51255	21070	14550	6519	9599		9564	16384	12207	4176	4148		3916	4686	2343	2343
228234	166	74895		51231	21036	14535	6500	9599		9564	16384	12209	4174	4124		3892	4652	2326	2326
229240	166	73462		49721	21031	14500	6530	9603		9568	16384	12176	4207	4140		3908	4647	2324	2323
230252	167	73868		50494	21031	14476	6554	9591		9556	16384	12152	4231	4160		3928	4647	2324	2323
231256	168	74606		51235	21031	14451	6579	9579		9544	16384	12127	4256	4148		3916	4647	2324	2323
232259	168	74154		50490	21031	14487	6543	9599		9564	16384	12163	4220	4148		3916	4647	2324	2323
233270	169	75011		51271	21032	14494	6537	9587		9552	16384	12170	4213	4176		3944	4648	2324	2324
234276	170	74552		51215	20999	14455	6543	9595		9560	16384	12147	4236	4112		3880	4615	2308	2307
235276	171	73006		49641	20999	14435	6563	9571		9536	16384	12127	4256	4092		3860	4615	2308	2307
236291	171	74076		50414	20999	14469	6530	9583		9548	16384	12161	4223	4088		3856	4615	2308	2307
237306	172	74169		50434	20999	14446	6552	9587		9552	16384	12138	4245	4104		3872	4615	2308	2307
238309	173	73805		50430	20999	14439	6561	9591		9556	16384	12131	4254	4096		3864	4615	2308	2307
239323	174	74102		50442	21068	14493	6574	9583		9548	16384	12151	4232	4116		3884	4684	2342	2342
240337	174	73528		49705	21038	14460	6577	9583		9548	16384	12133	4250	4144		3912	4654	2327	2327
241340	175	73860		50470	21036	14462	6573	9587		9552	16384	12136	4247	4140		3908	4652	2326	2326
242343	176	74946		51267	21031	14472	6558	9595		9560	16384	12148	4235	4164		3932	4647	2324	2323
243358	176	74210		50450	21031	14475	6555	9571		9536	16384	12151	4232	4136		3904	4647	2324	2323
244372	177	74587		51235	21063	14461	6601	9583		9548	16384	12121	4262	4144		3912	4679	2340	2339
245385	178	74637		51239	21031	14458	6572	9591		9556	16384	12134	4249	4140		3908	4647	2324	2323
246386	179	74914		51271	21031	14465	6565	9595		9560	16384	12141	4242	4168		3936	4647	2324	2323
247390	179	73772		50430	21063	14486	6576	9575		9540	16384	12146	4237	4112		3880	4679	2340	2339
248406	180	73792		50438	20999	14438	6560	9583		9548	16384	12130	4253	4112		3880	4615	2308	2307
249420	180	73295		49653	20999	14452	6546	9579		9544	16384	12144	4239	4096		3864	4615	2308	2307
250434	181	73023		49661	20999	14431	6567	9583		9548	16384	12123	4260	4100		3868	4615	2308	2307
251443	182	73948		50430	21031	14473	6557	9567		9532	16384	12149	4234	4120		3888	4647	2324	2323
252458	183	74761		51243	21038	14454	6583	9587		9552	16384	12127	4256	4148		3916	4654	2327	2327
253470	183	75028		51255	21038	14441	6596	9587		9552	16384	12114	4269	4160		3928	4654	2327	2327
254482	184	73710		50470	21034	14446	6587	9587		9552	16384	12121	4262	4140		3908	4650	2325	2325
255484	185	73714		50478	21031	14471	6559	9575		9540	16384	12147	4236	4160		3928	4647	2324	2323
256498	185	73292		49713	21063	14503	6559	9575		9540	16384	12163	4220	4160		3928	4679	2340	2339
257514	186	73755		50478	21031	14460	6570	9583		9548	16384	12136	4247	4152		3920	4647	2324	2323
258520	187	73760		50486	21031	14477	6553	9587		9552	16384	12153	4230	4156		3924	4647	2324	2323
259523	188	73778		50494	21031	14447	6583	9579		9544	16384	12123	4260	4172		3940	4647	2324	2323
260528	188	74784		51223	20999	14438	6560	9579		9544	16384	12130	4253	4136		3904	4615	2308	2307
261541	189	74837		51199	20999	14439	6559	9587		9552	16384	12131	4252	4104		3872	4615	2308	2307
262543	190	74466		51191	20999	14452	6546	9587		9552	16384	12144	4239	4096		3864	4615	2308	2307
263556	191	73693		50422	20998	14442	6555	9567		9532	16384	12135	4248	4112		3880	4614	2307	2307
264559	191	74217		50426	21033	14458	6574	9575		9540	16384	12133	4250	4108		3876	4649	2325	2324
265570	192	73916		50478	21039	14465	6573	9583		9548	16384	12137	4246	4152		3920	4655	2328	2327
266579	193	74629		51239	21038	14474	6563	9587		9552	16384	12147	4236	4144		3912	4654	2327	2327
267595	193	74190		50478	21032	14447	6584	9575		9540	16384	12123	4260	4160		3928	4648	2324	2324
268596	194	73782		50462	21031	14455	6575	9575		9540	16384	12131	4252	4144		3912	4647	2324	2323
269599	195	73318		49681	21064	14470	6593	9583		9548	16384	12130	4253	4120		3888	4680	2340	2340
