#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
612812	486	Explicit concurrent copying	144	2048	4096	 49	0.052	26.228
613425	487	Explicit concurrent copying	144	2048	4096	 49	0.067	26.993
613725	487	Explicit concurrent copying	159	2048	4096	 50	0.081	30.345
613960	487	Explicit concurrent copying	144	2048	4096	 49	0.066	31.322
614635	488	Explicit concurrent copying	144	2048	4096	 49	0.055	27.818
615057	488	Explicit concurrent copying	175	2048	4096	 50	0.059	27.628
615560	489	Explicit concurrent copying	160	2048	4096	 49	0.081	33.811
616063	489	Explicit concurrent copying	144	2048	4096	 49	0.054	29.692
617974	491	Explicit concurrent copying	159	2048	4096	 50	0.097	35.459
618258	491	Explicit concurrent copying	144	2048	4096	 49	0.065	29.032
618539	492	Explicit concurrent copying	144	2048	4096	 49	0.107	44.344
619037	492	Explicit concurrent copying	144	2048	4096	 49	0.073	57.430
619415	492	Explicit concurrent copying	175	2048	4096	 50	0.063	45.289
619621	493	Explicit concurrent copying	144	2048	4096	 49	0.086	30.115
620427	493	Explicit concurrent copying	160	2048	4096	 49	0.091	46.594
621149	494	Explicit concurrent copying	144	2048	4096	 49	0.057	30.007
621648	494	Explicit concurrent copying	175	2048	4096	 50	0.06	60.030
621929	495	Explicit concurrent copying	144	2048	4096	 49	0.075	35.552
622227	495	Explicit concurrent copying	160	2048	4096	 49	0.141	67.234
622648	495	Explicit concurrent copying	159	2048	4096	 50	0.078	44.114
623134	496	Explicit concurrent copying	144	2048	4096	 49	0.053	29.500
623387	496	Explicit concurrent copying	144	2048	4096	 49	0.069	29.405
623996	497	Explicit concurrent copying	144	2048	4096	 49	0.06	26.957
624245	497	Explicit concurrent copying	159	2048	4096	 50	0.07	32.661
624478	497	Explicit concurrent copying	144	2048	4096	 49	0.059	28.490
624824	498	Explicit concurrent copying	176	2048	4096	 49	0.051	27.262
625291	498	Explicit concurrent copying	159	2048	4096	 50	0.075	40.342
625495	498	Explicit concurrent copying	160	2048	4096	 49	0.076	40.150
